name,oof_balanced_accuracy,delta_vs_56,delta_vs_68,delta_vs_69,changed_rows_vs_56,changed_rows_vs_68,changed_rows_vs_69,test_changed_rows_vs_56,test_changed_rows_vs_69,worst_class_recall_delta_vs_56,worst_subset,worst_subset_delta_vs_56,best_subset,best_subset_delta_vs_56,robust_rank_score,meta_fold_mean_score,meta_fold_mean_delta_vs_56,meta_fold_min_delta_vs_56,meta_fold_max_delta_vs_56,meta_fold_positive_rate_vs_56,artifact_csv,output_csv
56_plus_84_good_union,0.9706205843024088,4.799120539278334e-05,-7.4933543203759e-07,1.770980132964617e-05,130,129,150,48,75,-6.82925996432493e-05,good_m,-0.0001416121889492583,bad_spectral,0.00017069044896877994,7.552296544033332e-06,0.9706205851674399,4.7991059382153087e-05,-2.5580544456782484e-05,0.0001325889796165436,0.88,artifacts/classwise_research_blend_84_guard_20260623/86_PRIVATE_CV_subset_guard_56_plus_84_good_union_oof0970621.csv,outputs/86_PRIVATE_CV_subset_guard_56_plus_84_good_union_oof0970621.csv
56_plus_84_safe_good,0.9706010400682565,2.8446971240492225e-05,-2.0293569584328708e-05,-1.8344328226449491e-06,65,194,189,25,88,-1.2088390309972219e-05,safe_good,-9.099806018619816e-05,rz_0_2,0.0001369094659784409,7.134074578618588e-06,0.9706010410550034,2.8446946945717144e-05,-1.6714083106994515e-05,6.871476817327249e-05,0.92,artifacts/classwise_research_blend_84_guard_20260623/87_PRIVATE_CV_subset_guard_56_plus_84_safe_good_oof0970601.csv,outputs/87_PRIVATE_CV_subset_guard_56_plus_84_safe_good_oof0970601.csv
56_plus_84_high_gi,0.9705897568093768,1.716371236071268e-05,-3.157682846410825e-05,-1.3117691702424494e-05,35,224,207,18,89,-1.2088390309972219e-05,good_high_gi,-3.1501702826397526e-05,rz_0_2,8.60027388502882e-05,4.248073068990887e-06,0.9705897578691275,1.716376106988715e-05,-1.8220358060760944e-05,4.2224516213829055e-05,0.76,artifacts/classwise_research_blend_84_guard_20260623/88_PRIVATE_CV_subset_guard_56_plus_84_high_gi_oof0970590.csv,outputs/88_PRIVATE_CV_subset_guard_56_plus_84_high_gi_oof0970590.csv
56_plus_84_m_or_highmag,0.9706045652897229,3.197219270689722e-05,-1.6768348117923715e-05,1.690788643760044e-06,103,156,171,37,86,-2.560972486620461e-05,good_m,-0.0001416121889492583,rz_0_2,0.0001285655459917212,1.713539547421039e-06,0.9706045662276245,3.197211956681212e-05,-1.478676024901926e-05,0.00010845197279318874,0.92,artifacts/classwise_research_blend_84_guard_20260623/89_PRIVATE_CV_subset_guard_56_plus_84_m_or_highmag_oof0970605.csv,outputs/89_PRIVATE_CV_subset_guard_56_plus_84_m_or_highmag_oof0970605.csv
68_plus_84_good_union,0.9706273255772709,5.473248025489319e-05,5.991939430072257e-06,2.4451076191756016e-05,242,25,38,108,15,-0.0001878046490187968,good_m,-0.0001416121889492583,bad_spectral,0.0006141286419438785,-3.72170186613282e-07,0.9706273265639893,5.473245593171417e-05,-1.626321356085203e-05,0.000147730329781659,0.88,artifacts/classwise_research_blend_84_guard_20260623/90_PRIVATE_CV_subset_guard_68_plus_84_good_union_oof0970627.csv,outputs/90_PRIVATE_CV_subset_guard_68_plus_84_good_union_oof0970627.csv
84_rollback_low_color,0.9706025622708417,2.996917382569464e-05,-1.8771366999126293e-05,-3.1223023744253453e-07,181,78,125,70,67,-9.670712247955571e-05,good_m,-5.82149821104494e-05,rz_0_2,0.00018642143493918795,-1.1162718174645424e-05,0.9706025631357216,2.996902766376319e-05,-5.112450374811228e-05,0.00011188557060515247,0.76,artifacts/classwise_research_blend_84_guard_20260623/91_PRIVATE_CV_subset_guard_84_rollback_low_color_oof0970603.csv,outputs/91_PRIVATE_CV_subset_guard_84_rollback_low_color_oof0970603.csv
84_rollback_bad_color,0.9705936538633648,2.1060766348779403e-05,-2.767977447604153e-05,-9.220637714357771e-06,115,144,157,51,70,-6.044195154975007e-05,safe_good,-9.099806018619816e-05,bad_spectral,0.00014011966666238607,-1.5426560556031088e-05,0.9705936547040906,2.1060596032844714e-05,-3.9346643269766446e-05,8.637574800440806e-05,0.72,artifacts/classwise_research_blend_84_guard_20260623/92_PRIVATE_CV_subset_guard_84_rollback_bad_color_oof0970594.csv,outputs/92_PRIVATE_CV_subset_guard_84_rollback_bad_color_oof0970594.csv
84_rollback_bad_union,0.9705859028004512,1.3309703435160358e-05,-3.5430837389660574e-05,-1.6971700627976816e-05,96,163,172,39,80,-6.044195154975007e-05,safe_good,-9.099806018619816e-05,rz_0_2,8.896520394674479e-05,-2.472295920486478e-05,0.9705859036897607,1.3309581703007112e-05,-4.376188822752258e-05,8.196050304665192e-05,0.6,artifacts/classwise_research_blend_84_guard_20260623/93_PRIVATE_CV_subset_guard_84_rollback_bad_union_oof0970586.csv,outputs/93_PRIVATE_CV_subset_guard_84_rollback_bad_union_oof0970586.csv
