candidate,subset,count,reference_bac,candidate_bac,delta_vs_reference,changed_rows_vs_reference
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_m,303323,0.915165667672622,0.9150252127986557,-0.0001404548739663003,98
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_core,475101,0.971041289520517,0.9711342362025578,9.294668204073986e-05,181
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_not_weak,329290,0.968032903420478,0.9681062318103031,7.332838982510026e-05,110
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_m,303323,0.915165667672622,0.9150252127986557,-0.0001404548739663003,98
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_core,475101,0.971041289520517,0.9711342362025578,9.294668204073986e-05,181
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,good_not_weak,329290,0.968032903420478,0.9681062318103031,7.332838982510026e-05,110
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_m,303323,0.915165667672622,0.9150252127986557,-0.0001404548739663003,98
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,good_core,475101,0.971041289520517,0.9711342362025578,9.294668204073986e-05,181
